subtype,temperature_K,mass_solar,log_luminosity_solar,bc_correction
O3V,44900.0,59.0,5.82,-4.01
O4V,42900.0,48.0,5.65,-3.89
O5V,41400.0,43.0,5.54,-3.76
O5.5V,40500.0,38.0,5.44,-3.67
O6V,39500.0,35.0,5.36,-3.57
O6.5V,38300.0,31.0,5.27,-3.49
O7V,37100.0,28.0,5.18,-3.41
O7.5V,36100.0,26.0,5.09,-3.33
O8V,35100.0,23.6,4.99,-3.24
O8.5V,34300.0,21.9,4.91,-3.18
O9V,33300.0,20.2,4.82,-3.11
O9.5V,31900.0,18.7,4.72,-3.01
B0V,31400.0,17.7,4.65,-2.99
B0.5V,29000.0,14.8,4.43,-2.83
B1V,26000.0,11.8,4.13,-2.58
B1.5V,24500.0,9.9,3.91,-2.44
B2V,20600.0,7.3,3.43,-2.03
B2.5V,18500.0,6.1,3.2,-1.77
B3V,17000.0,5.4,2.99,-1.54
B4V,16400.0,5.1,2.89,-1.49
B5V,15700.0,4.7,2.77,-1.34
B6V,14500.0,4.3,2.57,-1.13
B7V,14000.0,3.92,2.48,-1.05
B8V,12300.0,3.38,2.19,-0.73
B9V,10700.0,2.75,1.86,-0.42
B9.5V,10400.0,2.68,1.8,-0.36
A0V,9700.0,2.18,1.58,-0.21
A1V,9300.0,2.05,1.49,-0.14
A2V,8800.0,1.98,1.38,-0.07
A3V,8600.0,1.86,1.23,-0.04
A4V,8250.0,1.93,1.13,-0.02
A5V,8100.0,1.88,1.09,0.0
A6V,7910.0,1.83,1.05,0.005
A7V,7760.0,1.77,1.0,0.01
A8V,7590.0,1.81,0.96,0.02
A9V,7400.0,1.75,0.92,0.02
F0V,7220.0,1.61,0.86,0.01
F1V,7020.0,1.5,0.79,0.005
F2V,6820.0,1.46,0.71,-0.005
F3V,6750.0,1.44,0.67,-0.01
F4V,6670.0,1.38,0.62,-0.015
F5V,6550.0,1.33,0.56,-0.02
F6V,6350.0,1.25,0.43,-0.03
F7V,6280.0,1.21,0.39,-0.035
F8V,6180.0,1.18,0.29,-0.04
F9V,6050.0,1.13,0.22,-0.05
F9.5V,5990.0,1.08,0.18,-0.06
G0V,5930.0,1.06,0.13,-0.065
G1V,5860.0,1.03,0.08,-0.073
G2V,5770.0,1.0,0.01,-0.085
G3V,5720.0,0.99,-0.01,-0.095
G4V,5680.0,0.985,-0.04,-0.1
G5V,5660.0,0.98,-0.05,-0.105
G6V,5600.0,0.97,-0.1,-0.115
G7V,5550.0,0.95,-0.13,-0.125
G8V,5480.0,0.94,-0.17,-0.14
G9V,5380.0,0.9,-0.26,-0.16
K0V,5270.0,0.88,-0.34,-0.195
K1V,5170.0,0.86,-0.39,-0.23
K2V,5100.0,0.82,-0.43,-0.26
K3V,4830.0,0.78,-0.55,-0.375
K4V,4600.0,0.73,-0.69,-0.52
K5V,4440.0,0.7,-0.76,-0.63
K6V,4300.0,0.69,-0.86,-0.75
K7V,4100.0,0.64,-1.0,-0.93
K8V,3990.0,0.62,-1.06,-1.03
K9V,3930.0,0.59,-1.1,-1.07
M0V,3850.0,0.57,-1.16,-1.15
M0.5V,3770.0,0.54,-1.27,-1.29
M1V,3660.0,0.5,-1.39,-1.42
M1.5V,3620.0,0.47,-1.44,-1.5
M2V,3560.0,0.44,-1.54,-1.62
M2.5V,3470.0,0.4,-1.64,-1.78
M3V,3430.0,0.37,-1.79,-1.93
M3.5V,3270.0,0.27,-2.03,-2.28
M4V,3210.0,0.23,-2.14,-2.51
M4.5V,3110.0,0.184,-2.4,-2.84
M5V,3060.0,0.162,-2.52,-3.11
M5.5V,2930.0,0.123,-2.79,-3.58
M6V,2810.0,0.102,-2.98,-4.13
M6.5V,2740.0,0.093,-3.1,-4.62
M7V,2680.0,0.09,-3.19,-4.99
M7.5V,2630.0,0.088,-3.24,-5.32
M8V,2570.0,0.085,-3.28,-5.65
M8.5V,2420.0,0.08,-3.47,-5.78
M9V,2380.0,0.079,-3.52,-5.86
M9.5V,2350.0,0.078,-3.57,-6.13
