# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Mon Sep 14 19:00:46 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0015467 -1.00000 6.50000 0.0900000036 1.0816895926    0.090 -1.384  3.4996  3.727    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.4e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.229 13.180 11.802 10.202 8.992 7.678 6.371 5.812 5.528
0.0015467 -1.00000 6.50000 0.0913362056 1.0943676500    0.091 -1.380  3.5001  3.731    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.39e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.220 13.162 11.785 10.186 8.977 7.668 6.363 5.804 5.521
0.0015467 -1.00000 6.50000 0.1083819419 1.2375381503    0.108 -1.327  3.5065  3.778    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.34e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.089 12.918 11.551 9.962 8.779 7.520 6.248 5.680 5.405
0.0015467 -1.00000 6.50000 0.1168113127 1.2979295826    0.117 -1.314  3.5082  3.804    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.26e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.054 12.856 11.491 9.903 8.726 7.481 6.217 5.648 5.375
0.0015467 -1.00000 6.50000 0.1253796965 1.3537718774    0.125 -1.289  3.5109  3.821    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.27e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 7.993 12.747 11.387 9.804 8.637 7.413 6.163 5.591 5.321
0.0015467 -1.00000 6.50000 0.1333291382 1.4013147202    0.133 -1.260  3.5138  3.829    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.33e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 7.919 12.622 11.269 9.692 8.535 7.334 6.097 5.521 5.254
0.0015467 -1.00000 6.50000 0.1480951458 1.4805444803    0.148 -1.217  3.5183  3.851    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.38e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 7.812 12.435 11.093 9.525 8.384 7.218 6.003 5.421 5.158
0.0015467 -1.00000 6.50000 0.1575030535 1.5258551987    0.157 -1.190  3.5211  3.861    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.43e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 7.744 12.317 10.982 9.421 8.290 7.145 5.942 5.357 5.097
0.0015467 -1.00000 6.50000 0.1724953800 1.5912358802    0.172 -1.136  3.5268  3.870    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.6e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 7.610 12.071 10.757 9.215 8.104 7.001 5.824 5.230 4.975
0.0015467 -1.00000 6.50000 0.1862437427 1.6450077856    0.186 -1.095  3.5308  3.879    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.72e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 7.508 11.893 10.593 9.064 7.967 6.893 5.734 5.133 4.883
0.0015467 -1.00000 6.50000 0.1998931170 1.6935163486    0.200 -1.069  3.5332  3.893    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.74e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 7.444 11.789 10.496 8.973 7.884 6.825 5.675 5.072 4.823
0.0015467 -1.00000 6.50000 0.2036170512 1.7060076688    0.204 -1.059  3.5343  3.895    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.77e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 7.418 11.744 10.455 8.935 7.849 6.798 5.652 5.048 4.800
0.0015467 -1.00000 6.50000 0.2225718200 1.7652814948    0.223 -1.006  3.5397  3.902    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.97e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 7.285 11.516 10.246 8.743 7.674 6.659 5.535 4.922 4.679
0.0015467 -1.00000 6.50000 0.2419567108 1.8194719947    0.242 -0.965  3.5438  3.914    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.09e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 7.184 11.344 10.088 8.598 7.542 6.553 5.445 4.827 4.586
0.0015467 -1.00000 6.50000 0.2655556500 1.8782857629    0.266 -0.917  3.5491  3.927    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.25e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 7.062 11.129 9.892 8.421 7.382 6.425 5.339 4.713 4.477
0.0015467 -1.00000 6.50000 0.2953611910 1.9435296143    0.295 -0.858  3.5557  3.941    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.47e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 6.916 10.870 9.658 8.210 7.191 6.274 5.212 4.577 4.346
0.0015467 -1.00000 6.50000 0.3000000417 1.9529140366    0.300 -0.851  3.5566  3.944    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.49e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 6.897 10.836 9.628 8.182 7.166 6.254 5.195 4.560 4.329
0.0015467 -1.00000 6.50000 0.3499999940 2.0434174644    0.350 -0.764  3.5672  3.967    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.85e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 6.680 10.445 9.277 7.868 6.884 6.031 5.009 4.360 4.138
0.0015467 -1.00000 6.50000 0.3562525511 2.0535478346    0.356 -0.753  3.5688  3.970    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.89e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 6.653 10.393 9.231 7.828 6.848 6.003 4.986 4.336 4.115
0.0015467 -1.00000 6.50000 0.4000000060 2.1185024399    0.400 -0.681  3.5791  3.989    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.25e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 6.472 10.031 8.915 7.557 6.612 5.816 4.834 4.170 3.962
0.0015467 -1.00000 6.50000 0.4499999881 2.1822809009    0.450 -0.609  3.5899  4.011    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.6e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 6.291 9.682 8.611 7.298 6.386 5.633 4.680 4.001 3.809
0.0015467 -1.00000 6.50000 0.4821439385 2.2186077394    0.482 -0.565  3.5975  4.028    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.82e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 6.183 9.447 8.407 7.134 6.247 5.522 4.590 3.901 3.724
0.0015467 -1.00000 6.50000 0.5000000000 2.2374541529    0.500 -0.541  3.6016  4.036    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.96e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 6.122 9.314 8.292 7.042 6.170 5.460 4.539 3.845 3.675
0.0015467 -1.00000 6.50000 0.5054209232 2.2429735002    0.505 -0.532  3.6035  4.039    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.02e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 6.099 9.259 8.246 7.007 6.142 5.437 4.520 3.826 3.659
0.0015467 -1.00000 6.50000 0.5240984559 2.2609887234    0.524 -0.503  3.6088  4.048    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.22e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 6.028 9.093 8.107 6.898 6.052 5.364 4.460 3.762 3.604
0.0015467 -1.00000 6.50000 0.5439543128 2.2785887779    0.544 -0.480  3.6126  4.056    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.35e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 5.970 8.964 7.999 6.811 5.980 5.305 4.411 3.714 3.561
0.0015467 -1.00000 6.50000 0.5500000715 2.2836583126    0.550 -0.475  3.6134  4.058    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.37e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 5.956 8.935 7.974 6.791 5.964 5.291 4.399 3.702 3.551
0.0015467 -1.00000 6.50000 0.5522628427 2.2855229127    0.552 -0.471  3.6141  4.059    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.39e-14      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 5.948 8.914 7.957 6.778 5.953 5.282 4.392 3.696 3.546
